Date,Presenter,Event Name,Type of Session
30/10/2025,free for booking,,
23/10/2025,free for booking,,
09/10/2025,free for booking,,
25/09/2025,free for booking,,
11/09/2025,Samuel Mensah,TBA,seminar
28/08/2025,Guneet,TBA,seminar
14/08/2025,Elena Kochkina,TBA,seminar
07/08/2025,,Reading Group,journal club
24/07/2025,Joseph Boyle,Building Useful Agents,seminar
10/07/2025,Jialin Yu,Attuned to Change: Causal Fine-Tuning under Latent-Confounded Shifts,seminar
26/06/2025,Chiara Di Bonaventura,Hatevolution: What Static Benchmarks Don't Tell Us,seminar
29/05/2025,,RAG to Reasoning: Safety and Verification Frontiers in LLM Research,journal club
22/05/2025,Cohere researchers: Shivalika Singh and Yiyang Nan,The Leaderboard Illusion,seminar
